PassengerId,Cabin,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_True,VIP_True
0013_01,2784,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,2912,False,True,False,False,True,False
0018_01,1867,0.24050632911392406,0.0,0.0003561112649863491,0.0,0.1422596250755896,0.0,2406,False,True,False,False,False,False
0019_01,257,0.3924050632911392,0.0,0.0,0.0,0.0,0.0,3376,False,False,True,False,True,False
0021_01,259,0.4810126582278481,0.0,0.2632057927432438,0.0,0.00912114493045757,0.02626616379310345,2711,False,True,True,False,False,False
0023_01,1940,0.25316455696202533,0.0008645283997579321,0.0,0.07657983598649301,0.0,0.0,668,False,True,False,False,False,False
0027_01,2098,0.3924050632911392,0.0,0.06390218810588376,0.03171731789676797,0.005694416448296715,0.0026939655172413795,2249,False,True,False,False,False,False
0029_01,120,0.26582278481012656,0.0,0.017389478745373124,0.0,0.0,0.0,71,False,False,True,False,True,False
0032_01,463,0.25316455696202533,0.0,0.0,0.0,0.0,0.0,17,False,True,True,False,True,False
0032_02,463,0.2911392405063291,0.0,0.0,0.0,0.0,0.0,1135,False,False,True,False,True,False
0033_01,2099,0.3037974683544304,0.0,0.025283899814030786,0.0,0.0,0.0,1341,False,False,False,False,False,False
0037_01,2248,0.24050632911392406,0.029307512751793895,0.0001187037549954497,0.01640135069946937,0.01194315662164886,0.0,3989,False,True,False,False,False,False
0040_01,533,0.569620253164557,0.08057404685743927,0.002928025956554426,0.02138151534554679,0.00035275146139891153,0.04534841954022988,323,False,True,True,False,False,False
0040_02,533,0.5569620253164557,0.0,0.061765520515965656,0.0,0.0007055029227978231,0.010057471264367816,2119,False,True,True,False,False,False
0042_01,652,0.5822784810126582,0.0,0.0,0.0,0.0,0.0,1813,False,True,False,True,True,False
0046_01,2853,0.26582278481012656,0.0,0.0,0.0,0.08501310219713767,0.004130747126436782,2903,False,True,False,False,False,False
0046_02,1134,0.34177215189873417,0.0,0.0,0.0,0.04550493852045959,0.013950701821771981,1667,False,True,False,False,False,False
0046_03,1134,0.25316455696202533,0.0001729056799515864,0.0004748150199817988,0.03051133622768934,0.023029631122757507,0.030980603448275863,2145,False,True,False,False,False,False
0047_01,59,0.5569620253164557,0.0,0.0,0.0,0.0,0.0,4116,False,True,True,False,True,False
0047_02,2691,0.3670886075949367,0.0,0.3049895145016421,0.02930535455861071,0.028673654505140093,0.015400502873563218,2857,False,True,True,False,False,False
0047_03,59,0.5063291139240507,0.002247773839370623,0.07616824278874688,0.000964785335262904,0.1584357992340254,0.0028286637931034483,557,False,True,True,False,False,False
0048_01,2932,0.37974683544303794,0.0,0.034740632295334944,0.003135552339604438,0.00015117919774239064,0.0,3913,False,True,False,False,False,False
0049_01,653,0.17721518987341772,0.018956191697786427,0.0,0.0,0.08108244305583552,0.0,1205,False,True,False,False,False,False
0054_01,211,0.3924050632911392,0.0,0.0,0.0,0.0,0.0,100,False,False,True,False,True,False
0054_02,211,0.34177215189873417,0.0,0.2760653662010842,0.0,0.00020157226365652087,0.055450790229885055,215,False,False,True,False,False,False
0054_03,211,0.8354430379746836,0.003371660759055935,0.2552922090768805,0.0,0.07100382987300947,0.00695941091954023,4115,False,False,True,False,False,False
0055_01,2931,0.3037974683544304,0.15423186651681509,0.0003165433466545325,0.002170767004341534,0.0009070751864543439,0.0,667,False,True,False,False,False,False
0057_01,258,0.24050632911392406,0.02533068211290741,0.1382898745696989,0.6359141341051616,0.005946381777867366,0.018947557471264368,1592,False,False,True,False,False,False
0059_01,720,0.45569620253164556,0.0,0.0,0.0,0.0,0.0,2067,False,True,False,False,True,False
0060_01,1202,0.26582278481012656,0.0,0.024492541447394454,0.0014471780028943561,0.00015117919774239064,0.0,1483,False,True,False,False,False,False
0063_01,3132,0.22784810126582278,0.0,0.0,0.0,0.0,0.0,1324,False,False,False,False,True,False
0065_01,3193,0.3291139240506329,0.0,0.0,0.0,0.0,0.0,2810,False,True,False,False,True,False
0075_01,2386,0.24050632911392406,0.05169879830552434,0.0,0.0036179450072358903,0.0,0.0,3495,False,True,False,False,False,False
0079_01,2463,0.6075949367088608,0.0,0.0,0.0,0.0,0.0,3971,False,True,False,False,True,False
0080_01,3060,0.2911392405063291,0.0012103397596611048,0.03442408894868041,0.0,0.0,0.0010326867816091954,4020,False,True,False,False,False,False
0083_01,3131,0.3037974683544304,0.04175672170830812,0.0,0.010492040520984082,0.010784116105623867,0.0,2440,False,True,False,False,False,False
0087_01,796,0.24050632911392406,0.0,0.0007913583666363314,0.016280752532561504,0.013354162467244508,0.01647808908045977,2714,False,True,False,False,False,False
0089_01,1699,0.3037974683544304,0.0,0.0,0.0,0.0,0.0,2987,False,True,False,True,True,False
0093_01,2316,0.34177215189873417,0.0057058874384023515,0.06868990622403355,0.0,0.0,0.0006734913793103449,2345,False,True,False,False,False,False
0094_01,2700,0.0759493670886076,0.018956191697786427,0.0,0.0,0.0,0.0,2079,False,True,False,False,True,False
0094_02,1709,0.4177215189873418,0.0,0.0,0.0,0.043640395081636765,0.0,3759,False,True,False,False,False,False
0095_01,1660,0.2911392405063291,0.0,0.0,0.1489387361312108,0.0,0.0,3838,True,False,False,False,False,False
0096_01,1717,0.37974683544303794,8.64528399757932e-05,0.0,0.19114809454896287,0.0,0.02173132183908046,2385,True,False,False,False,False,False
0100_01,2532,0.36276134432436025,0.0,0.0006726546116408816,0.12023637240713941,0.0,0.0,1060,False,True,False,False,False,False
0100_02,2532,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,2568,False,True,False,False,False,False
0104_01,1736,0.25316455696202533,8.64528399757932e-05,0.0,0.0,0.030185446482564,0.0,87,False,True,False,False,False,False
0106_01,1750,0.21518987341772153,0.0,0.0,0.0,0.0,0.0,3791,False,True,False,False,True,False
0109_01,1716,0.43037974683544306,0.0,0.0,0.004703328509406657,5.0393065914130216e-05,0.024964080459770114,3849,False,True,False,False,False,False
0117_01,864,0.3037974683544304,0.0,0.0008704942032999644,0.009889049686444766,0.0,0.030801005747126436,2677,True,False,False,False,False,False
